a,query
A special word of appreciation for two of our officers who are on board the plane - Deepak Padmakumar and M.Balakrishnan - they showed exemplary fortitude and a real spirit of public service by traveling to ground zero in #Wuhan to coordinate airport arrangements. Kudos to both.,
@hansie_version9 @VikramMisri @MEAIndia @MFA_China @DrSJaishankar @EOIBeijing @AdnanSamiLive Hansie. . Ab yeh jyada ho gaya,
"@VikramMisri @MEAIndia @MFA_China @DrSJaishankar @EOIBeijing You leave India, but India wont leave you!!!Good work @MEAIndia @DrSJaishankar and team!!! @AdnanSamiLive has already highlighted difference between pak and india go with video of poor student o",
"The second flight from #Wuhan has just landed in #Delhi. We wish all those on board good health in the days ahead. Once again, thank you to #AirIndia, Team @MEAIndia and @MFA_China |@DrSJaishankar @PMOIndia",
"Want to thank my team at @EOIBeijing which mounted a non-stop almost 96-hour long operation to coordinate a complex airlift under challenging circumstances for us, the passengers and local authorities in #Hubei and #Wuhan",
We wish the people of #China well as they face the challenge of the #nCoV2019 outbreak. We will continue to work with @MFA_China й ? 人,
@Sankarbalajee1 @VikramMisri @MEAIndia @DrSJaishankar @EOIBeijing We should sell Air India as soon as possible (100%),
@sameergoyal @VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing They were going to but porkis said  Hum kagaz Nahi dikhayenge,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Thanks @DrSJaishankar and team for saving our Indians and other countrymen.,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Pls also consider evacuating the unfortunate Pakistani students who have been left at the mercy of God by their government ..,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Shushmaji must be smiling from above somewhere. ????,
"@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Sir, please also look for paxitani students. It's really heartening to see them left behind.@PMOIndia @DrSJaishankar",
@Nav_Gir @VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing @PMOIndia Wo kagaz nahi dikhayege to phir,
